dataset,model,source_label,feature_name,trial_type,alpha_aug,alpha_mix_json,recdim,seed,trial_idx,lr,decay,topks,final_epoch,final_loss,training_time_seconds,precision@100,recall@100,ndcg@100
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2436,16,0.1,0.01,[100],40,0.331,19.94350547506474,0.14557769,0.21018854,0.23052354
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2437,17,0.1,0.01,[100],40,0.323,20.206035655224696,0.14830677,0.21345644,0.23463636
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2438,18,0.1,0.01,[100],40,0.324,20.584298300091177,0.14577689,0.21256111,0.23228792
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2439,19,0.1,0.01,[100],40,0.33,20.438378741033375,0.15653386,0.22980543,0.25052463
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2440,20,0.1,0.01,[100],40,0.328,20.13906329497695,0.14998008,0.21910949,0.23913167
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2821,1,0.1,0.01,[100],40,0.277,20.514913064893335,0.18663347,0.2796355,0.3026565
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2822,2,0.1,0.01,[100],40,0.275,19.961196667980403,0.18914343,0.28213234,0.30565836
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2823,3,0.1,0.01,[100],40,0.283,20.442607106873766,0.177749,0.26222201,0.28565206
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2824,4,0.1,0.01,[100],40,0.279,21.81190121290274,0.18340637,0.27794548,0.29580422
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2825,5,0.1,0.01,[100],40,0.279,21.085266321897507,0.1924502,0.28972502,0.31131235
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2826,6,0.1,0.01,[100],40,0.281,20.70442741108127,0.18171315,0.27413015,0.29264936
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2827,7,0.1,0.01,[100],40,0.276,20.73672297806479,0.18290837,0.27616817,0.29706229
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2828,8,0.1,0.01,[100],40,0.281,21.54941091919318,0.18478088,0.27587515,0.29610526
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2829,9,0.1,0.01,[100],40,0.278,20.72614020202309,0.18430279,0.27668792,0.29844156
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2830,10,0.1,0.01,[100],40,0.284,20.962140244897455,0.18428287,0.28137064,0.29841267
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2831,11,0.1,0.01,[100],40,0.28,20.625080006197095,0.18868526,0.28647882,0.30590811
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2832,12,0.1,0.01,[100],40,0.281,20.09316440601833,0.18203187,0.2719503,0.29435879
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2833,13,0.1,0.01,[100],40,0.275,21.283860307885334,0.18836653,0.28258724,0.30683984
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2834,14,0.1,0.01,[100],40,0.277,20.431593551067635,0.1835259,0.27392119,0.290764
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2835,15,0.1,0.01,[100],40,0.28,20.03173716692254,0.18589641,0.27743767,0.29972404
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2836,16,0.1,0.01,[100],40,0.285,20.373132016975433,0.17448207,0.26309633,0.28041411
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2837,17,0.1,0.01,[100],40,0.277,20.34830296691507,0.18687251,0.28150454,0.30286999
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2838,18,0.1,0.01,[100],40,0.276,20.48359417798929,0.18531873,0.27945636,0.30059231
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2839,19,0.1,0.01,[100],40,0.281,20.403059950098395,0.18300797,0.27568798,0.29383129
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",8,2840,20,0.1,0.01,[100],40,0.277,20.639501123921946,0.18727092,0.27980745,0.30594245
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",8,2821,1,0.1,0.01,[100],40,0.277,20.700133976060897,0.1860757,0.27897684,0.30224807
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",8,2822,2,0.1,0.01,[100],40,0.277,20.552399893058464,0.18675299,0.27983958,0.30164141
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",8,2823,3,0.1,0.01,[100],40,0.282,19.979901660000905,0.17938247,0.2655846,0.288701
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",8,2824,4,0.1,0.01,[100],40,0.281,20.07500465400517,0.18344622,0.27716899,0.29544835
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",8,2825,5,0.1,0.01,[100],40,0.279,21.10183798801154,0.19093625,0.28802206,0.30852997
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",8,2826,6,0.1,0.01,[100],40,0.282,20.038376051932573,0.17944223,0.27098453,0.28885378
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",8,2827,7,0.1,0.01,[100],40,0.277,20.029210122069344,0.18350598,0.27725843,0.29809781
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",8,2828,8,0.1,0.01,[100],40,0.281,20.427811856148764,0.18533865,0.27677201,0.29538298
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",8,2829,9,0.1,0.01,[100],40,0.277,20.094960695132613,0.18462151,0.27680532,0.29945261
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",8,2830,10,0.1,0.01,[100],40,0.283,20.836192914051935,0.18679283,0.28331557,0.30215498
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",8,2831,11,0.1,0.01,[100],40,0.279,20.40929766697809,0.18868526,0.28574392,0.3063646
